Node	Value
Time: 0
**************************************************
1		1
2		0
3		U
4		1
5		U

Time: 1
**************************************************
1		1
2		1
3		U
4		0
5		U

Time: 2
**************************************************
1		1
2		0
3		U
4		U
5		U

Time: 3
**************************************************
1		1
2		1
3		U
4		1
5		0

Time: 4
**************************************************
1		1
2		1
3		U
4		1
5		U

Time: 5
**************************************************
1		1
2		1
3		U
4		1
5		U

Time: 6
**************************************************
1		1
2		1
3		U
4		1
5		U

Time: 7
**************************************************
1		1
2		1
3		U
4		1
5		U

Time: 8
**************************************************
1		1
2		1
3		U
4		1
5		U

Time: 9
**************************************************
1		1
2		1
3		U
4		1
5		U

Time: 10
**************************************************
1		1
2		1
3		1
4		1
5		U

Time: 11
**************************************************
1		1
2		1
3		0
4		1
5		U

Time: 12
**************************************************
1		1
2		1
3		1
4		1
5		1

Time: 13
**************************************************
1		1
2		1
3		0
4		1
5		0

Time: 14
**************************************************
1		1
2		1
3		0
4		1
5		1

Time: 15
**************************************************
1		1
2		1
3		0
4		1
5		0

